_id,Index_,OccurredYear,GeoDivision,Category,Count_
1,1,2014,D11,Shooting Occurrence,2
2,2,2014,D12,Shooting Occurrence,20
3,3,2014,D13,Shooting Occurrence,2
4,4,2014,D14,Shooting Occurrence,7
5,5,2014,D22,Shooting Occurrence,8
6,6,2014,D23,Shooting Occurrence,18
7,7,2014,D31,Shooting Occurrence,31
8,8,2014,D32,Shooting Occurrence,13
9,9,2014,D33,Shooting Occurrence,5
10,10,2014,D41,Shooting Occurrence,15
11,11,2014,D42,Shooting Occurrence,10
12,12,2014,D43,Shooting Occurrence,7
13,13,2014,D51,Shooting Occurrence,16
14,14,2014,D52,Shooting Occurrence,2
15,15,2014,D53,Shooting Occurrence,2
16,16,2014,D54/D55,Shooting Occurrence,19
17,17,2015,D11,Shooting Occurrence,7
18,18,2015,D12,Shooting Occurrence,36
19,19,2015,D13,Shooting Occurrence,4
20,20,2015,D14,Shooting Occurrence,15
21,21,2015,D22,Shooting Occurrence,17
22,22,2015,D23,Shooting Occurrence,36
23,23,2015,D31,Shooting Occurrence,50
24,24,2015,D32,Shooting Occurrence,11
25,25,2015,D33,Shooting Occurrence,11
26,26,2015,D41,Shooting Occurrence,24
27,27,2015,D42,Shooting Occurrence,21
28,28,2015,D43,Shooting Occurrence,16
29,29,2015,D51,Shooting Occurrence,14
30,30,2015,D52,Shooting Occurrence,9
31,31,2015,D53,Shooting Occurrence,3
32,32,2015,D54/D55,Shooting Occurrence,14
33,33,2016,D11,Shooting Occurrence,16
34,34,2016,D12,Shooting Occurrence,36
35,35,2016,D13,Shooting Occurrence,17
36,36,2016,D14,Shooting Occurrence,23
37,37,2016,D22,Shooting Occurrence,15
38,38,2016,D23,Shooting Occurrence,54
39,39,2016,D31,Shooting Occurrence,65
40,40,2016,D32,Shooting Occurrence,27
41,41,2016,D33,Shooting Occurrence,11
42,42,2016,D41,Shooting Occurrence,21
43,43,2016,D42,Shooting Occurrence,29
44,44,2016,D43,Shooting Occurrence,22
45,45,2016,D51,Shooting Occurrence,20
46,46,2016,D52,Shooting Occurrence,5
47,47,2016,D53,Shooting Occurrence,9
48,48,2016,D54/D55,Shooting Occurrence,37
49,49,2017,D11,Shooting Occurrence,18
50,50,2017,D12,Shooting Occurrence,25
51,51,2017,D13,Shooting Occurrence,14
52,52,2017,D14,Shooting Occurrence,23
53,53,2017,D22,Shooting Occurrence,15
54,54,2017,D23,Shooting Occurrence,44
55,55,2017,D31,Shooting Occurrence,68
56,56,2017,D32,Shooting Occurrence,11
57,57,2017,D33,Shooting Occurrence,11
58,58,2017,D41,Shooting Occurrence,27
59,59,2017,D42,Shooting Occurrence,35
60,60,2017,D43,Shooting Occurrence,30
61,61,2017,D51,Shooting Occurrence,24
62,62,2017,D52,Shooting Occurrence,10
63,63,2017,D53,Shooting Occurrence,6
64,64,2017,D54/D55,Shooting Occurrence,31
65,65,2018,D11,Shooting Occurrence,12
66,66,2018,D12,Shooting Occurrence,36
67,67,2018,D13,Shooting Occurrence,16
68,68,2018,D14,Shooting Occurrence,27
69,69,2018,D22,Shooting Occurrence,14
70,70,2018,D23,Shooting Occurrence,49
71,71,2018,D31,Shooting Occurrence,67
72,72,2018,D32,Shooting Occurrence,23
73,73,2018,D33,Shooting Occurrence,12
74,74,2018,D41,Shooting Occurrence,30
75,75,2018,D42,Shooting Occurrence,32
76,76,2018,D43,Shooting Occurrence,30
77,77,2018,D51,Shooting Occurrence,30
78,78,2018,D52,Shooting Occurrence,14
79,79,2018,D53,Shooting Occurrence,9
80,80,2018,D54/D55,Shooting Occurrence,26
81,81,2019,D11,Shooting Occurrence,15
82,82,2019,D12,Shooting Occurrence,47
83,83,2019,D13,Shooting Occurrence,27
84,84,2019,D14,Shooting Occurrence,16
85,85,2019,D22,Shooting Occurrence,23
86,86,2019,D23,Shooting Occurrence,61
87,87,2019,D31,Shooting Occurrence,64
88,88,2019,D32,Shooting Occurrence,37
89,89,2019,D33,Shooting Occurrence,22
90,90,2019,D41,Shooting Occurrence,23
91,91,2019,D42,Shooting Occurrence,35
92,92,2019,D43,Shooting Occurrence,40
93,93,2019,D51,Shooting Occurrence,19
94,94,2019,D52,Shooting Occurrence,9
95,95,2019,D53,Shooting Occurrence,13
96,96,2019,D54/D55,Shooting Occurrence,41
